-0.121097 -95.055183,59.900058 78.755107,-60.019052 91.179640,39.989112 -62.038857,19.960339 113.650109,-79.460942 -84.703090,79.421930 -15.469562,-20.187454 146.270801,-40.173201 -38.076082,59.900058 168.755107,-60.019052 -178.820360,-0.121097 -5.055183,19.960339 -156.349891,-79.460942 5.296910,39.989112 27.961143,-20.187454 -123.729199,-40.173201 51.923918,79.421930 74.530438
58.357712 70.716005,-61.554091 83.177784,1.441314 -103.365325,18.399352 105.351713,-77.998714 -90.575680,41.543072 -70.276986,-21.745714 137.974742,-38.622785 -46.321294,80.864203 -20.555221,-61.554091 173.177784,1.441314 -13.365325,58.357712 160.716005,-77.998714 -0.575680,41.543072 19.723014,18.399352 -164.648287,-38.622785 43.678706,80.864203 69.444779,-21.745714 -132.025258
56.557291 70.982033,-63.341954 83.579543,3.263461 -103.376589,16.578570 105.351511,-76.270986 -88.422387,43.354381 -70.193894,-23.562285 137.982792,-36.813696 -46.265606,82.492243 -15.232844,-63.341954 173.579543,3.263461 -13.376589,56.557291 160.982033,-76.270986 1.577613,43.354381 19.806106,16.578570 -164.648489,-36.813696 43.734394,82.492243 74.767156,-23.562285 -132.017208
54.755165 71.212586,-65.127003 84.050949,5.085635 -103.387436,14.757436 105.348978,-74.526632 -86.771664,45.164662 -70.098044,-25.378102 137.994539,-35.003565 -46.218213,84.017138 -7.043630,-65.127003 174.050949,5.085635 -13.387436,54.755165 161.212586,-74.526632 3.228336,45.164662 19.901956,14.757436 -164.651022,-35.003565 43.781787,84.017138 82.956370,-25.378102 -132.005461
52.951486 71.412879,-66.908761 84.608078,6.907783 -103.397632,12.936001 105.344418,-72.770556 -85.473737,46.973858 -69.987746,-27.193122 138.010425,-33.192429 -46.178240,85.336782 6.269200,-66.908761 174.608078,6.907783 -13.397632,52.951486 161.412879,-72.770556 4.526263,46.973858 20.012254,12.936001 -164.655582,-33.192429 43.821760,85.336782 96.269200,-27.193122 -131.989575
51.146376 71.587171,-68.686579 85.272282,8.729851 -103.406938,11.114315 105.338118,-71.005860 -84.432209,48.781907 -69.861024,-29.007306 138.030934,-31.380327 -46.144909,86.229313 27.755974,-68.686579 175.272282,8.729851 -13.406938,51.146376 161.587171,-71.005860 5.567791,48.781907 20.138976,11.114315 -164.661882,-31.380327 43.855091,86.229313 117.755974,-29.007306 -131.969066
49.339937 71.738977,-70.459570 86.072521,10.551788 -103.415111,9.292429 105.330346,-69.234592 -83.582495,50.588738 -69.715545,-30.820614 138.056602,-29.567298 -46.117530,86.365254 55.816198,-70.459570 176.072521,10.551788 -13.415111,49.339937 161.738977,-69.234592 6.417505,50.588738 20.284455,9.292429 -164.669654,-29.567298 43.882470,86.365254 145.816198,-30.820614 -131.943398
47.532256 71.871224,-72.226477 87.049030,12.373542 -103.421894,7.470396 105.321363,-67.458156 -82.879814,52.394268 -69.548541,-32.633006 138.088025,-27.753381 -46.095488,85.672712 80.000775,-72.226477 177.049030,12.373542 -13.421894,47.532256 161.871224,-67.458156 7.120186,52.394268 20.451459,7.470396 -164.678637,-27.753381 43.904512,85.672712 170.000775,-32.633006 -131.911975
45.723407 71.986367,-73.985487 88.259294,14.195060 -103.427021,5.648267 105.311416,-65.677536 -82.292201,54.198401 -69.356693,-34.444444 138.125869,-25.938614 -46.078229,84.453768 95.542017,-73.985487 178.259294,14.195060 -13.427021,45.723407 161.986367,-65.677536 7.707799,54.198401 20.643307,5.648267 -164.688584,-25.938614 43.921771,84.453768 -174.457983,-34.444444 -131.874131
43.913455 72.086485,-75.733879 89.788158,16.016292 -103.430211,3.826095 105.300746,-63.893445 -81.796252,56.001021 -69.135990,-36.254890 138.170882,-24.123039 -46.065253,82.977303 105.010406,-75.733879 179.788158,16.016292 -13.430211,43.913455 162.086485,-63.893445 8.203748,56.001021 20.864010,3.826095 -164.699254,-24.123039 43.934747,82.977303 -164.989594,-36.254890 -131.829118
42.102458 72.173351,-77.467420 91.765730,17.837188 -103.431166,2.003934 105.289586,-62.106407 -81.374455,57.801987 -68.881541,-38.064305 138.223908,-22.306696 -46.056106,81.374468 111.051002,-77.467420 -178.234270,17.837188 -13.431166,42.102458 162.173351,-62.106407 8.625545,57.801987 21.118459,2.003934 -164.710414,-22.306696 43.943894,81.374468 -158.948998,-38.064305 -131.776092
40.290469 72.248485,-79.179184 94.400700,19.657699 -103.429568,0.181837 105.278168,-60.316817 -81.013451,59.601123 -68.587308,-39.872650 138.285907,-20.489629 -46.050373,79.704005 115.139491,-79.179184 -175.599300,19.657699 -13.429568,40.290469 162.248485,-60.316817 8.986549,59.601123 21.412692,0.181837 -164.721832,-20.489629 43.949627,79.704005 -154.860509,-39.872650 -131.714093
38.477537 72.313201,-80.857155 98.045699,21.477776 -103.425077,-1.640144 105.266719,-58.524973 -80.702878,61.398211 -68.245761,-41.679884 138.357973,-18.671880 -46.047675,77.993994 118.051278,-80.857155 -171.954301,21.477776 -13.425077,38.477537 162.313201,-58.524973 9.297122,61.398211 21.754239,-1.640144 -164.733281,-18.671880 43.952325,77.993994 -151.948722,-41.679884 -131.642027
36.663709 72.368639,-82.478913 103.331728,23.297373 -103.417321,-3.461954 105.255468,-56.731109 -80.434575,63.192968 -67.847381,-43.485966 138.441364,-16.853494 -46.047659,76.259073 120.211073,-82.478913 -166.668272,23.297373 -13.417321,36.663709 162.368639,-56.731109 9.565425,63.192968 22.152619,-3.461954 -164.744532,-16.853494 43.952341,76.259073 -149.788927,-43.485966 -131.558636
34.849030 72.415797,-83.998942 111.446338,25.116442 -103.405901,-5.283542 105.244644,-54.935407 -80.202031,64.985032 -67.379958,-45.290847 138.537533,-15.034518 -46.050001,74.507484 121.865352,-83.998942 -158.553662,25.116442 -13.405901,34.849030 162.415797,-54.935407 9.797969,64.985032 22.620042,-5.283542 -164.755356,-15.034518 43.949999,74.507484 -148.134648,-45.290847 -131.462467
33.033544 72.455553,-85.317341 124.604729,26.934939 -103.390377,-7.104855 105.234481,-53.138013 -79.999985,66.773921 -66.827578,-47.094479 138.648169,-13.214999 -46.054394,72.744179 123.165179,-85.317341 -145.395271,26.934939 -13.390377,33.033544 162.455553,-53.138013 10.000015,66.773921 23.172422,-7.104855 -164.765519,-13.214999 43.945606,72.744179 -146.834821,-47.094479 -131.351831
31.217294 72.488682,-86.217268 145.831858,28.752817 -103.370268,-8.925841 105.225217,-51.339044 -79.824139,68.558989 -66.169112,-48.896803 138.775249,-11.394984 -46.060552,70.972288 124.207644,-86.217268 -124.168142,28.752817 -13.370268,31.217294 162.488682,-51.339044 10.175861,68.558989 23.830888,-8.925841 -164.774783,-11.394984 43.939448,70.972288 -145.792356,-48.896803 -131.224751
29.400323 72.515873,-86.372716 173.729462,30.570034 -103.345041,-10.746449 105.217097,-49.538598 -79.670951,70.339350 -65.375918,-50.697757 138.921105,-9.574523 -46.068203,69.193881 125.057722,-86.372716 -96.270538,30.570034 -13.345041,29.400323 162.515873,-49.538598 10.329049,70.339350 24.624082,-10.746449 -164.782903,-9.574523 43.931797,69.193881 -144.942278,-50.697757 -131.078895
27.582675 72.537742,-85.702144 -161.964427,32.386546 -103.314102,-12.566629 105.210376,-47.736754 -79.537469,72.113759 -64.408217,-52.497262 139.088506,-7.753666 -46.077088,67.410372 125.760421,-85.702144 -71.964427,32.386546 -13.314102,27.582675 162.537742,-47.736754 10.462531,72.113759 25.591783,-12.566629 -164.789624,-7.753666 43.922912,67.410372 -144.239579,-52.497262 -130.911494
25.764394 72.554842,-84.499750 -146.246441,34.202309 -103.276791,-14.386330 105.205323,-45.933581 -79.421218,73.880416 -63.209210,-54.295229 139.280768,-5.932463 -46.086959,65.622760 126.347844,-84.499750 -56.246441,34.202309 -13.276791,25.764394 162.554842,-45.933581 10.578782,73.880416 26.790790,-14.386330 -164.794677,-5.932463 43.913041,65.622760 -143.652156,-54.295229 -130.719232
23.945523 72.567671,-83.035663 -136.656855,36.017281 -103.232365,-16.205506 105.202216,-44.129138 -79.320103,75.636631 -61.695114,-56.091549 139.501898,-4.110967 -46.097574,63.831765 126.843478,-83.035663 -46.656855,36.017281 -13.232365,23.945523 162.567671,-44.129138 10.679897,75.636631 28.304886,-16.205506 -164.797784,-4.110967 43.902426,63.831765 -143.156522,-56.091549 -130.498102
22.126109 72.576685,-81.443063 -130.541074,37.831417 -103.179984,-18.024107 105.201356,-42.323479 -79.232337,77.378221 -59.737527,-57.886087 139.756786,-2.289230 -46.108699,62.037921 127.264890,-81.443063 -40.541074,37.831417 -13.179984,22.126109 162.576685,-42.323479 10.767663,77.378221 30.262473,-18.024107 -164.798644,-2.289230 43.891301,62.037921 -142.735110,-57.886087 -130.243214
20.306198 72.582295,-79.781737 -126.404684,39.644673 -103.118697,-19.842088 105.203059,-40.516651 -79.156390,79.098359 -57.130646,-59.678674 140.051459,-0.467304 -46.120104,60.241627 127.625471,-79.781737 -36.404684,39.644673 -13.118697,20.306198 162.582295,-40.516651 10.843610,79.098359 32.869354,-19.842088 -164.796941,-0.467304 43.879896,60.241627 -142.374529,-59.678674 -129.948541
18.485836 72.584884,-78.080254 -123.460856,41.457004 -103.047416,-21.659403 105.207669,-38.708696 -79.090938,80.785212 -53.526919,-61.469098 140.393435,1.354758 -46.131559,58.443193 127.935606,-78.080254 -33.460856,41.457004 -13.047416,18.485836 162.584884,-38.708696 10.909062,80.785212 36.473081,-21.659403 -164.792331,1.354758 43.868441,58.443193 -142.064394,-61.469098 -129.606565
16.665071 72.584800,-76.353483 -121.278603,43.268361 -102.964893,-23.476009 105.215554,-36.899658 -79.034831,82.416732 -48.304591,-63.257085 140.792218,3.176902 -46.142837,56.642857 128.203469,-76.353483 -31.278603,43.268361 -12.964893,16.665071 162.584800,-36.899658 10.965169,82.416732 41.695409,-23.476009 -164.784446,3.176902 43.857163,56.642857 -141.796531,-63.257085 -129.207782
14.843953 72.582371,-74.609790 -119.607940,45.078691 -102.869685,-25.291862 105.227116,-35.089575 -78.987066,83.948200 -40.292306,-65.042278 141.259986,4.999076 -46.153709,54.840808 128.435580,-74.609790 -29.607940,45.078691 -12.869685,14.843953 162.582371,-35.089575 11.012934,83.948200 49.707694,-25.291862 -164.772884,4.999076 43.846291,54.840808 -141.564420,-65.042278 -128.740014
13.022531 72.577901,-72.854190 -118.295753,46.887941 -102.760116,-27.106922 105.242795,-33.278486 -78.946758,85.281374 -27.293200,-66.824205 141.812608,6.821226 -46.163941,53.037200 128.637208,-72.854190 -28.295753,46.887941 -12.760116,13.022531 162.577901,-33.278486 11.053242,85.281374 62.706800,-27.106922 -164.757205,6.821226 43.836059,53.037200 -141.362792,-66.824205 -128.187392
11.200856 72.571677,-71.089850 -117.243701,48.696046 -102.634223,-28.921146 105.263072,-31.466429 -78.913127,86.201562 -6.235378,-68.602228 142.471142,8.643300 -46.173295,51.232155 128.812650,-71.089850 -27.243701,48.696046 -12.634223,11.200856 162.571677,-31.466429 11.086873,86.201562 83.764622,-28.921146 -164.736928,8.643300 43.826705,51.232155 -141.187350,-68.602228 -127.528858
9.378978 72.563970,-69.318859 -116.386012,50.502936 -102.489695,-30.734496 105.288482,-29.653443 -78.885481,86.378994 21.716415,-70.375473 143.264116,10.465244 -46.181527,49.425778 128.965454,-69.318859 -26.386012,50.502936 -12.489695,9.378978 162.563970,-29.653443 11.114519,86.378994 111.716415,-30.734496 -164.711518,10.465244 43.818473,49.425778 -141.034546,-70.375473 -126.735884
7.556951 72.555039,-67.542643 -115.677151,52.308530 -102.323783,-32.546932 105.319617,-27.839567 -78.863198,85.720285 46.287893,-72.142705 144.231119,12.287007 -46.188382,47.618154 129.098571,-67.542643 -25.677151,52.308530 -12.323783,7.556951 162.555039,-27.839567 11.136802,85.720285 136.287893,-32.546932 -164.680383,12.287007 43.811618,47.618154 -140.901429,-72.142705 -125.768881
5.734825 72.545132,-65.762204 -115.084657,54.112732 -102.133199,-34.358417 105.357140,-26.024840 -78.845724,84.518994 62.200478,-73.902142 145.428628,14.108538 -46.193594,45.809359 129.214477,-65.762204 -25.084657,54.112732 -12.133199,5.734825 162.545132,-26.024840 11.154276,84.518994 152.200478,-34.358417 -164.642860,14.108538 43.806406,45.809359 -140.785523,-73.902142 -124.571372
3.912654 72.534490,-63.978265 -114.584789,55.915427 -101.913970,-36.168911 105.401794,-24.209302 -78.832554,83.050961 71.887153,-75.651120 146.939866,15.929785 -46.196883,43.999458 129.315267,-63.978265 -24.584789,55.915427 -11.913970,3.912654 162.534490,-24.209302 11.167446,83.050961 161.887153,-36.168911 -164.598206,15.929785 43.803117,43.999458 -140.684733,-75.651120 -123.060134
2.090492 72.523349,-62.191358 -114.159799,57.716475 -101.661250,-37.978376 105.454419,-22.392995 -78.823235,81.452443 78.049657,-77.385494 148.892206,17.750698 -46.197951,42.188509 129.402726,-62.191358 -24.159799,57.716475 -11.661250,2.090492 162.523349,-22.392995 11.176765,81.452443 168.049657,-37.978376 -164.545581,17.750698 43.802049,42.188509 -140.597274,-77.385494 -121.107794
0.268390 72.511937,-60.401881 -113.796161,59.515703 -101.369064,-39.786773 105.515968,-20.575961 -78.817349,79.784405 82.209515,-79.098511 151.489473,19.571228 -46.196482,40.376566 129.478387,-60.401881 -23.796161,59.515703 -11.369064,0.268390 162.511937,-20.575961 11.182651,79.784405 172.209515,-39.786773 -164.484032,19.571228 43.803518,40.376566 -140.521613,-79.098511 -118.510527
-1.553597 72.500485,-58.610139 -113.483392,61.312894 -101.029963,-41.594061 105.587529,-18.758244 -78.814515,78.075873 85.165684,-80.778481 155.075184,21.391327 -46.192136,38.563678 129.543570,-58.610139 -23.483392,61.312894 -11.029963,-1.553597 162.500485,-18.758244 11.185485,78.075873 175.165684,-41.594061 -164.412471,21.391327 43.807864,38.563678 -140.456430,-80.778481 -114.924816
-3.375417 72.489219,-56.816366 -113.213241,63.107769 -100.634534,-43.400198 105.670351,-16.939887 -78.814380,76.341913 87.354628,-82.403678 160.262344,23.210948 -46.184544,36.749891 129.599425,-56.816366 -23.213241,63.107769 -10.634534,-3.375417 162.489219,-16.939887 11.185620,76.341913 177.354628,-43.400198 -164.329649,23.210948 43.815456,36.749891 -140.400575,-82.403678 -109.737656
-5.197017 72.478370,-55.020748 -112.979126,64.899971 -100.170716,-45.205137 105.765876,-15.120938 -78.816616,74.590986 89.028952,-83.930179 168.202591,25.030043 -46.173308,34.935252 129.646956,-55.020748 -22.979126,64.899971 -10.170716,-5.197017 162.478370,-15.120938 11.183384,74.590986 179.028952,-45.205137 -164.234124,25.030043 43.826692,34.935252 -140.353044,-83.930179 -101.797409
-7.018344 72.468170,-53.223431 -112.775734,66.689023 -99.622801,-47.008829 105.875783,-13.301444 -78.820918,72.828155 90.343098,-85.261849 -178.947755,26.848568 -46.157990,33.119803 129.687045,-53.223431 -22.775734,66.689023 -9.622801,-7.018344 162.468170,-13.301444 11.179082,72.828155 -179.656902,-47.008829 -164.124217,26.848568 43.842010,33.119803 -140.312955,-85.261849 -88.947755
-8.839347 72.458858,-51.424535 -112.598729,68.474291 -98.969952,-48.811218 106.002032,-11.481451 -78.826998,71.056619 91.396123,-86.188877 -158.146400,28.666477 -46.138110,31.303588 129.720473,-51.424535 -22.598729,68.474291 -8.969952,-8.839347 162.458858,-11.481451 11.173002,71.056619 -178.603877,-48.811218 -163.997968,28.666477 43.861890,31.303588 -140.279527,-86.188877 -68.146400
-10.659974 72.450678,-49.624157 -112.444536,70.254900 -98.183952,-50.612238 106.146937,-9.661010 -78.834584,69.278486 92.254197,-86.385360 -130.369819,30.483726 -46.113138,29.486651 129.747932,-49.624157 -22.444536,70.254900 -8.183952,-10.659974 162.450678,-9.661010 11.165416,69.278486 -177.745803,-50.612238 -163.853063,30.483726 43.886862,29.486651 -140.252068,-86.385360 -40.369819
-12.480175 72.443885,-47.822377 -112.310177,72.029628 -97.225661,-52.411814 106.313245,-7.840170 -78.843417,67.495194 92.963088,-85.748785 -105.686205,32.300273 -46.082486,27.669034 129.770040,-47.822377 -22.310177,72.029628 -7.225661,-12.480175 162.443885,-7.840170 11.156583,67.495194 -177.036912,-52.411814 -163.686755,32.300273 43.917514,27.669034 -140.229960,-85.748785 -15.686205
-14.299900 72.438746,-46.019266 -112.193158,73.796705 -96.039273,-54.209856 106.504241,-6.018983 -78.853246,65.707759 93.555400,-84.564304 -89.595226,34.116072 -46.045494,25.850782 129.787355,-46.019266 -22.193158,73.796705 -6.039273,-14.299900 162.438746,-6.018983 11.146754,65.707759 -176.444600,-54.209856 -163.495759,34.116072 43.954506,25.850782 -140.212645,-84.564304 0.404774
-16.119101 72.435540,-44.214883 -112.091366,75.553495 -94.542602,-56.006257 106.723898,-4.197500 -78.863831,63.916911 94.054958,-83.108793 -79.784651,35.931082 -46.001423,24.031938 129.800376,-44.214883 -22.091366,75.553495 -4.542602,-16.119101 162.435540,-4.197500 11.136169,63.916911 -175.945042,-56.006257 -163.276102,35.931082 43.998577,24.031938 -140.199624,-83.108793 10.215349
-17.937731 72.434566,-42.409281 -112.003003,77.295907 -92.609948,-57.800883 106.977056,-2.375773 -78.874938,62.123192 94.479565,-81.520582 -73.545255,37.745259 -45.949441,22.212549 129.809561,-42.409281 -22.003003,77.295907 -2.609948,-17.937731 162.434566,-2.375773 11.125062,62.123192 -175.520435,-57.800883 -163.022944,37.745259 44.050559,22.212549 -140.190439,-81.520582 16.454745
-19.755742 72.436140,-40.602507 -111.926526,79.017278 -90.040293,-59.593567 107.269682,-0.553855 -78.886334,60.327008 94.842781,-79.861721 -69.336511,39.558558 -45.888601,20.392660 129.815325,-40.602507 -21.926526,79.017278 -0.040293,-19.755742 162.436140,-0.553855 11.113666,60.327008 -175.157219,-59.593567 -162.730318,39.558558 44.111399,20.392660 -140.184675,-79.861721 20.663489
-21.573090 72.440604,-38.794605 -111.860602,80.706100 -86.495062,-61.384100 107.609214,1.268202 -78.897792,58.528669 95.155112,-78.161737 -66.347719,41.370934 -45.817821,18.572318 129.818049,-38.794605 -21.860602,80.706100 3.504938,-21.573090 162.440604,1.268202 11.102208,58.528669 -174.844888,-61.384100 -162.390786,41.370934 44.182179,18.572318 -140.181951,-78.161737 23.652281
-23.389731 72.448324,-36.985617 -111.804076,82.341004 -81.370235,-63.172210 108.005047,3.090344 -78.909084,56.728418 95.424824,-76.435943 -64.135957,43.182338 -45.735863,16.751572 129.818085,-36.985617 -21.804076,82.341004 8.629765,-23.389731 162.448324,3.090344 11.090916,56.728418 -174.575176,-63.172210 -161.994953,43.182338 44.264137,16.751572 -140.181915,-76.435943 25.864043
-25.205621 72.459702,-35.175583 -111.755935,83.878836 -73.530002,-64.957545 108.469213,4.912517 -78.919980,54.926448 95.658506,-74.692922 -62.445015,44.992719 -45.641293,14.930469 129.815760,-35.175583 -21.755935,83.878836 16.469998,-25.205621 162.459702,4.912517 11.080020,54.926448 -174.341494,-64.957545 -161.530787,44.992719 44.358707,14.930469 -140.184240,-74.692922 27.554985
-27.020719 72.475175,-33.364541 -111.715291,85.225068 -60.836889,-66.739640 109.017376,6.734670 -78.930248,53.122910 95.861478,-72.937804 -61.118350,46.802021 -45.532448,13.109061 129.811381,-33.364541 -21.715291,85.225068 29.163111,-27.020719 162.475175,6.734670 11.069752,53.122910 -174.138522,-66.739640 -160.982624,46.802021 44.467552,13.109061 -140.188619,-72.937804 28.881650
-28.834984 72.495222,-31.552529 -111.681359,86.172089 -40.208359,-68.517866 109.670304,8.556748 -78.939649,51.317932 96.038079,-71.173826 -60.055628,48.610182 -45.407380,11.287396 129.805233,-31.552529 -21.681359,86.172089 49.791641,-28.834984 162.495222,8.556748 11.060351,51.317932 -173.961921,-68.517866 -160.329696,48.610182 44.592620,11.287396 -140.194767,-71.173826 29.944372
-30.648376 72.520375,-29.739587 -111.653443,86.390748 -12.392814,-70.291362 110.456102,10.378700 -78.947940,49.511615 96.191887,-69.403115 -59.189862,50.417131 -45.263795,9.465527 129.797591,-29.739587 -21.653443,86.390748 77.607186,-30.648376 162.520375,10.378700 11.052060,49.511615 -173.808113,-70.291362 -159.543898,50.417131 44.736205,9.465527 -140.202409,-69.403115 30.810138
-32.460857 72.551224,-27.925752 -111.630919,85.766655 12.553923,-72.058915 111.413722,12.200473 -78.954867,47.704049 96.325880,-67.627121 -58.474750,52.222789 -45.098969,7.643506 129.788712,-27.925752 -21.630919,85.766655 102.553923,-32.460857 162.551224,12.200473 11.045133,47.704049 -173.674120,-72.058915 -158.586278,52.222789 44.901031,7.643506 -140.211288,-67.627121 31.525250
-34.272388 72.588427,-26.111064 -111.613228,84.583646 28.845059,-73.818775 112.598662,14.022015 -78.960163,45.895308 96.442553,-65.846865 -57.877321,54.027060 -44.909641,5.821383 129.778846,-26.111064 -21.613228,84.583646 118.845059,-34.272388 162.588427,14.022015 11.039837,45.895308 -173.557447,-73.818775 -157.401338,54.027060 45.090359,5.821383 -140.221154,-65.846865 32.122679
-36.082929 72.632725,-24.295564 -111.599865,83.124337 38.756189,-75.568327 114.092557,15.843277 -78.963549,44.085458 96.544019,-64.063079 -57.373494,55.829829 -44.691875,3.999214 129.768234,-24.295564 -21.599865,83.124337 128.756189,-36.082929 162.632725,15.843277 11.036451,44.085458 -173.455981,-75.568327 -155.907443,55.829829 45.308125,3.999214 -140.231766,-64.063079 32.626506
-37.892444 72.684951,-22.479293 -111.590372,81.530267 45.043921,-77.303522 116.020112,17.664207 -78.964730,42.274558 96.632075,-62.276303 -56.945281,57.630959 -44.440871,2.177049 129.757111,-22.479293 -21.590372,81.530267 135.043921,-37.892444 162.684951,17.664207 11.035270,42.274558 -173.367925,-77.303522 -153.979888,57.630959 45.559129,2.177049 -140.242889,-62.276303 33.054719
-39.700893 72.746052,-20.662292 -111.584332,79.864717 49.276886,-79.017765 118.580429,19.484756 -78.963389,40.462661 96.708264,-60.486940 -56.578986,59.430278 -44.150715,0.354944 129.745707,-20.662292 -21.584332,79.864717 139.276886,-39.700893 162.746052,19.484756 11.036611,40.462661 -173.291736,-79.017765 -151.419571,59.430278 45.849285,0.354944 -140.254293,-60.486940 33.421014
-41.508234 72.817110,-18.844606 -111.581361,78.157695 52.278391,-80.699687 122.108187,21.304877 -78.959188,38.649816 96.773918,-58.695300 -56.264003,61.227571 -43.814037,-1.467050 129.734251,-18.844606 -21.581361,78.157695 142.278391,-41.508234 162.817110,21.304877 11.040812,38.649816 -173.226082,-80.699687 -147.891813,61.227571 46.185963,-1.467050 -140.265749,-58.695300 33.735997
-43.314427 72.899366,-17.026279 -111.581105,76.424716 54.497039,-82.328229 127.198984,23.124521 -78.951759,36.836072 96.830192,-56.901619 -55.991987,63.022564 -43.421533,-3.288879 129.722972,-17.026279 -21.581105,76.424716 144.497039,-43.314427 162.899366,23.124521 11.048241,36.836072 -173.169808,-82.328229 -142.801016,63.022564 46.578467,-3.288879 -140.277028,-56.901619 34.008013
-45.119425 72.994252,-15.207357 -111.583236,74.674461 56.191749,-83.860998 134.969654,24.943643 -78.940705,35.021472 96.878098,-55.106085 -55.756289,64.814902 -42.961286,-5.110491 129.712098,-15.207357 -21.583236,74.674461 146.191749,-45.119425 162.994252,24.943643 11.059295,35.021472 -173.121902,-83.860998 -135.030346,64.814902 47.038714,-5.110491 -140.287902,-55.106085 34.243711
-46.923177 73.103434,-13.387887 -111.587446,72.912113 57.520435,-85.205476 147.518191,26.762196 -78.925592,33.206060 96.918522,-53.308846 -55.551543,66.604117 -42.417789,-6.931832 129.701861,-13.387887 -21.587446,72.912113 147.520435,-46.923177 163.103434,26.762196 11.074408,33.206060 -173.081478,-85.205476 -122.481809,66.604117 47.582211,-6.931832 -140.298139,-53.308846 34.448457
-48.725629 73.228858,-11.567917 -111.593449,71.140936 58.584165,-86.158797 167.893849,28.580135 -78.905940,31.389881 96.952250,-51.510023 -55.373371,68.389582 -41.770494,-8.752851 129.692501,-11.567917 -21.593449,71.140936 148.584165,-48.725629 163.228858,28.580135 11.094060,31.389881 -173.047750,-86.158797 -102.106151,68.389582 48.229506,-8.752851 -140.307499,-51.510023 34.626629
-50.526715 73.372818,-9.747496 -111.600969,69.363079 59.450338,-86.396024 -164.477747,30.397417 -78.881223,29.572977 96.979978,-49.709713 -55.218165,70.170437 -40.991600,-10.573497 129.684262,-9.747496 -21.600969,69.363079 149.450338,-50.526715 163.372818,30.397417 11.118777,29.572977 -173.020022,-86.396024 -74.477747,70.170437 49.008400,-10.573497 -140.315738,-49.709713 34.781835
-52.326362 73.538039,-7.926674 -111.609748,67.580007 60.165494,-85.794209 -139.428980,32.213997 -78.850855,27.755391 97.002327,-47.907998 -55.082924,71.945479 -40.042595,-12.393720 129.677397,-7.926674 -21.609748,67.580007 150.165494,-52.326362 163.538039,32.213997 11.149145,27.755391 -172.997673,-85.794209 -49.428980,71.945479 49.957405,-12.393720 -140.322603,-47.907998 34.917076
-54.124480 73.727779,-6.105503 -111.619535,65.792750 60.762748,-84.628275 -122.958034,34.029834 -78.814180,25.937168 97.019858,-46.104949 -54.965132,73.712970 -38.868643,-14.213469 129.672173,-6.105503 -21.619535,65.792750 150.762748,-54.124480 163.727779,34.029834 11.185820,25.937168 -172.980142,-84.628275 -32.958034,73.712970 51.131357,-14.213469 -140.327827,-46.104949 35.034868
-55.920961 73.945972,-4.284032 -111.630090,64.002051 61.266270,-83.181636 -112.920264,35.844882 -78.770464,24.118352 97.033073,-44.300625 -54.862660,75.470327 -37.389120,-16.032696 129.668869,-4.284032 -21.630090,64.002051 151.266270,-55.920961 163.945972,35.844882 11.229536,24.118352 -172.966927,-83.181636 -22.920264,75.470327 52.610880,-16.032696 -140.331131,-44.300625 35.137340
-57.715675 74.197414,-2.462316 -111.641177,62.208458 61.694103,-81.597948 -106.553888,37.659100 -78.718878,22.298987 97.042430,-42.495079 -54.773695,77.213546 -35.480956,-17.851354 129.667782,-2.462316 -21.641177,62.208458 151.694103,-57.715675 164.197414,37.659100 11.281122,22.298987 -172.957570,-81.597948 -16.553888,77.213546 54.519044,-17.851354 -140.332218,-42.495079 35.226305
-59.508456 74.488010,-0.640405 -111.652565,60.412383 62.059976,-79.941614 -102.271027,39.472441 -78.658482,20.479121 97.048348,-40.688360 -54.696685,78.936126 -32.947784,-19.669396 129.669228,-0.640405 -21.652565,60.412383 152.059976,-59.508456 164.488010,39.472441 11.341518,20.479121 -172.951652,-79.941614 -12.271027,78.936126 57.052216,-19.669396 -140.330772,-40.688360 35.303315
-61.299096 74.825120,1.181646 -111.664025,58.614141 62.374523,-78.243163 -99.236303,41.284862 -78.588201,18.658800 97.051208,-38.880511 -54.630288,80.626869 -29.459734,-21.486776 129.673546,1.181646 -21.664025,58.614141 152.374523,-61.299096 164.825120,41.284862 11.411799,18.658800 -172.948792,-78.243163 -9.236303,80.626869 60.540266,-21.486776 -140.326454,-38.880511 35.369712
-63.087328 75.218030,3.003785 -111.675330,56.813976 62.646098,-76.518365 -96.994468,43.096313 -78.506804,16.838071 97.051364,-37.071574 -54.573339,82.265066 -24.429939,-23.303451 129.681103,3.003785 -21.675330,56.813976 152.646098,-63.087328 165.218030,43.096313 11.493196,16.838071 -172.948636,-76.518365 -6.994468,82.265066 65.570061,-23.303451 -140.318897,-37.071574 35.426661
-64.872805 75.678629,4.825958 -111.686250,55.012084 62.881363,-74.776026 -95.282902,44.906744 -78.412870,15.016985 97.049144,-35.261588 -54.524820,83.809061 -16.757021,-25.119378 129.692298,4.825958 -21.686250,55.012084 152.881363,-64.872805 165.678629,44.906744 11.587130,15.016985 -172.950856,-74.776026 -5.282902,83.809061 73.242979,-25.119378 -140.307702,-35.261588 35.475180
