-0.121097 -95.055183,59.900058 78.755107,-60.019052 91.179640,39.989112 -62.038857,19.960339 113.650109,-79.460942 -84.703090,79.421930 -15.469562,-20.187454 146.270801,-40.173201 -38.076082,59.900058 168.755107,-60.019052 -178.820360,-0.121097 -5.055183,19.960339 -156.349891,-79.460942 5.296910,39.989112 27.961143,-20.187454 -123.729199,-40.173201 51.923918,79.421930 74.530438
29.011830 -95.066674,30.958401 80.793231,-86.291925 157.870373,68.813020 -57.764765,-9.185320 113.524309,-51.082551 -71.500673,70.719207 132.639646,-49.153542 147.095154,-11.135577 -37.761231,30.958401 170.793231,-86.291925 -112.129627,29.011830 -5.066674,-9.185320 -156.475691,-51.082551 18.499327,68.813020 32.235235,-49.153542 -122.904846,-11.135577 52.238769,70.719207 -137.360354
30.828949 -95.040670,29.141331 80.819627,-86.323120 -174.037812,70.592619 -56.949451,-11.005870 113.516373,-49.281901 -71.350461,68.939998 133.466332,-50.954294 147.243900,-9.315056 -37.769074,29.141331 170.819627,-86.323120 -84.037812,30.828949 -5.040670,-11.005870 -156.483627,-49.281901 18.649539,70.592619 33.050549,-50.954294 -122.756100,-9.315056 52.230926,68.939998 -136.533668
32.645357 -95.008865,27.323590 80.840784,-85.555300 -150.923417,72.366050 -55.952752,-12.825984 113.509873,-47.479864 -71.219576,67.155852 134.150879,-52.753586 147.414626,-7.494147 -37.778115,27.323590 170.840784,-85.555300 -60.923417,32.645357 -5.008865,-12.825984 -156.490127,-47.479864 18.780424,72.366050 34.047248,-52.753586 -122.585374,-7.494147 52.221885,67.155852 -135.849121
34.461010 -94.970588,25.505222 80.857245,-84.302789 -136.280589,74.131409 -54.714761,-14.645614 113.505080,-45.676506 -71.105602,65.367719 134.723947,-54.551326 147.610739,-5.672899 -37.788106,25.505222 170.857245,-84.302789 -46.280589,34.461010 -4.970588,-14.645614 -156.494920,-45.676506 18.894398,74.131409 35.285239,-54.551326 -122.389261,-5.672899 52.211894,65.367719 -135.276053
36.275865 -94.925082,23.686271 80.869504,-82.814644 -127.318258,75.885841 -53.146658,-16.464710 113.502275,-43.871888 -71.006492,63.576289 135.208043,-56.347401 147.836359,-3.851366 -37.798808,23.686271 170.869504,-82.814644 -37.318258,36.275865 -4.925082,-16.464710 -156.497725,-43.871888 18.993508,75.885841 36.853342,-56.347401 -122.163641,-3.851366 52.201192,63.576289 -134.791957
38.089878 -94.871493,21.866783 80.878008,-81.209622 -121.554145,77.624874 -51.111512,-18.283226 113.501760,-42.066059 -70.920499,61.782073 135.620049,-58.141671 148.096517,-2.029598 -37.809987,21.866783 170.878008,-81.209622 -31.554145,38.089878 -4.871493,-18.283226 -156.498240,-42.066059 19.079501,77.624874 38.888488,-58.141671 -121.903483,-2.029598 52.190013,61.782073 -134.379951
39.903006 -94.808851,20.046805 80.883166,-79.541266 -117.624744,79.341153 -48.388306,-20.101114 113.503856,-40.259067 -70.846124,59.985458 135.972865,-59.933965 148.397432,-0.207650 -37.821413,20.046805 170.883166,-79.541266 -27.624744,39.903006 -4.808851,-20.101114 -156.496144,-40.259067 19.153876,79.341153 41.611694,-59.933965 -121.602568,-0.207650 52.178587,59.985458 -134.027135
41.715201 -94.736049,18.226382 80.885353,-77.835472 -114.810255,81.021810 -44.600804,-21.918331 113.508909,-38.450956 -70.782070,58.186739 136.276520,-61.724060 148.746870,1.614427 -37.832857,18.226382 170.885353,-77.835472 -24.810255,41.715201 -4.736049,-21.918331 -156.491091,-38.450956 19.217930,81.021810 45.399196,-61.724060 -121.253130,1.614427 52.167143,58.186739 -133.723480
43.526414 -94.651811,16.405565 80.884916,-76.105880 -112.713286,82.642588 -39.070363,-23.734832 113.517293,-36.641766 -70.727211,56.386148 136.538922,-63.511672 149.154666,3.436579 -37.844091,16.405565 170.884916,-76.105880 -22.713286,43.526414 -4.651811,-23.734832 -156.482707,-36.641766 19.272789,82.642588 50.929637,-63.511672 -120.845334,3.436579 52.155909,56.386148 -133.461078
45.336594 -94.554664,14.584400 80.882178,-74.360239 -111.101459,84.153677 -30.512074,-25.550575 113.529414,-34.831538 -70.680559,54.583869 136.766393,-65.296432 149.633455,5.258753 -37.854886,14.584400 170.882178,-74.360239 -21.101459,45.336594 -4.554664,-25.550575 -156.470586,-34.831538 19.319441,84.153677 59.487926,-65.296432 -120.366545,5.258753 52.145114,54.583869 -133.233607
47.145685 -94.442896,12.762939 80.877441,-72.603231 -109.831416,85.444773 -16.548447,-27.365518 113.545717,-33.020308 -70.641249,52.780048 136.964045,-67.077846 150.199740,7.080895 -37.865007,12.762939 170.877441,-72.603231 -19.831416,47.145685 -4.442896,-27.365518 -156.454283,-33.020308 19.358751,85.444773 73.451553,-67.077846 -119.800260,7.080895 52.134993,52.780048 -133.035955
48.953621 -94.314498,10.941232 80.870989,-70.837834 -108.810508,86.279501 5.790766,-29.179620 113.566692,-31.208117 -70.608512,50.974808 137.136060,-68.855249 150.875479,8.902954 -37.874217,10.941232 170.870989,-70.837834 -18.810508,48.953621 -4.314498,-29.179620 -156.433308,-31.208117 19.391488,86.279501 95.790766,-68.855249 -119.124521,8.902954 52.125783,50.974808 -132.863940
50.760332 -94.167102,9.119330 80.863091,-69.066024 -107.976445,86.331905 33.982128,-30.992843 113.592880,-29.395002 -70.581666,49.168248 137.285891,-70.627722 151.690518,10.724875 -37.882269,9.119330 170.863091,-69.066024 -17.976445,50.760332 -4.167102,-30.992843 -156.407120,-29.395002 19.418334,86.331905 123.982128,-70.627722 -118.309482,10.724875 52.117731,49.168248 -132.714109
52.565734 -93.997889,7.297285 80.854006,-67.289152 -107.285911,85.574112 57.364005,-32.805146 113.624883,-27.581002 -70.560101,47.360453 137.416413,-72.393969 152.686428,12.546608 -37.888906,7.297285 170.854006,-67.289152 -17.285911,52.565734 -3.997889,-32.805146 -156.375117,-27.581002 19.439899,85.574112 147.364005,-72.393969 -117.313572,12.546608 52.111094,47.360453 -132.583587
54.369728 -93.803484,5.475150 80.843980,-65.508176 -106.707904,84.321676 72.184914,-34.616491 113.663375,-25.766157 -70.543269,45.551497 137.530045,-74.152104 153.922770,14.368102 -37.893862,5.475150 170.843980,-65.508176 -16.707904,54.369728 -3.803484,-34.616491 -156.336625,-25.766157 19.456731,84.321676 162.184914,-74.152104 -116.077230,14.368102 52.106138,45.551497 -132.469955
56.172198 -93.579802,3.652977 80.833253,-63.723785 -106.219677,82.829179 81.234620,-36.426841 113.709112,-23.950507 -70.530676,43.741443 137.628833,-75.899299 155.487753,16.189304 -37.896852,3.652977 170.833253,-63.723785 -16.219677,56.172198 -3.579802,-36.426841 -156.290888,-23.950507 19.469324,82.829179 171.234620,-75.899299 -114.512247,16.189304 52.103148,43.741443 -132.371167
